,tgt_pos-left-hip-yaw,tgt_pos-left-hip-roll,tgt_pos-left-hip-pitch,tgt_pos-left-knee,tgt_pos-left-ankle-pitch,tgt_pos-left-ankle-roll,tgt_pos-right-hip-yaw,tgt_pos-right-hip-roll,tgt_pos-right-hip-pitch,tgt_pos-right-knee,tgt_pos-right-ankle-pitch,tgt_pos-right-ankle-roll,kp-left-hip-yaw,kp-left-hip-roll,kp-left-hip-pitch,kp-left-knee,kp-left-ankle-pitch,kp-left-ankle-roll,kp-right-hip-yaw,kp-right-hip-roll,kp-right-hip-pitch,kp-right-knee,kp-right-ankle-pitch,kp-right-ankle-roll,kd-left-hip-yaw,kd-left-hip-roll,kd-left-hip-pitch,kd-left-knee,kd-left-ankle-pitch,kd-left-ankle-roll,kd-right-hip-yaw,kd-right-hip-roll,kd-right-hip-pitch,kd-right-knee,kd-right-ankle-pitch,kd-right-ankle-roll,pelvis_quat-0,pelvis_quat-1,pelvis_quat-2,pelvis_quat-3,pelvis_ang_v-0,pelvis_ang_v-1,pelvis_ang_v-2,pelvis_lin_v-0,pelvis_lin_v-1,pelvis_lin_v-2,projected_gravity-0,projected_gravity-1,projected_gravity-2,commands_linear-0,commands_linear-1,commands_angular-0,delta_dof-0,delta_dof-1,delta_dof-2,delta_dof-3,delta_dof-4,delta_dof-5,delta_dof-6,delta_dof-7,delta_dof-8,delta_dof-9,delta_dof-10,delta_dof-11,delta_dof-12,delta_dof-13,delta_dof-14,dof_vel-0,dof_vel-1,dof_vel-2,dof_vel-3,dof_vel-4,dof_vel-5,dof_vel-6,dof_vel-7,dof_vel-8,dof_vel-9,dof_vel-10,dof_vel-11,dof_vel-12,dof_vel-13,dof_vel-14,temporal_encoding-0,temporal_encoding-1
0,-0.32257456,0.22588071,0.34882885,-0.8429326,-0.6063567,0.07852474,-0.042895302,-0.28814006,-0.332039,0.14450729,0.59815145,0.1437513,20.36162,30.82875,1.966211,7.0322084,0.3326633,40.90834,20.36162,30.82875,1.966211,7.0322084,0.3326633,40.90834,0.34838352,0.2719112,0.053897485,0.040494032,0.066756584,0.66352665,0.34838352,0.2719112,0.053897485,0.040494032,0.066756584,0.66352665,-0.007495153695344925,-0.014991393312811852,0.005731999408453703,0.9998430609703064,-0.32782047986984253,-0.6818484663963318,0.0002310791751369834,-0.058111030608415604,-0.16232579946517944,-0.4708913564682007,-0.02989213466644287,0.015159861743450164,-0.9994380950927735,0.3499999940395355,0.0,-0.0037620067596435547,-0.005842827260494232,0.00148811936378479,-0.03132620453834534,0.055305540561676025,-0.016970163211226463,0.003225256223231554,-0.005702607333660126,-0.0007716566324234009,0.03441837430000305,-0.06377679109573364,0.015907248482108116,0.002971491077914834,-5.658162081090268e-06,-8.830097794998437e-05,-1.2838360817113426e-05,-0.37346696853637695,0.09849827736616135,-1.7116321325302124,3.2864811420440674,-1.0543421506881714,0.21563632786273956,-0.27152949571609497,-0.006870645564049482,1.9256455898284912,-4.1247782707214355,0.934067964553833,0.17058801651000977,-0.002623137552291155,-0.004124687053263187,-0.00041211952338926494,0.17931710183620453,0.9837913513183594
1,-0.37138495,0.2332088,0.56206214,-0.81564534,-0.6099741,0.20497313,-0.14384553,-0.31676406,-0.7095365,0.03910142,0.60991037,0.2278187,16.04523,32.897873,0.7302195,7.736392,0.20103991,35.17831,16.04523,32.897873,0.7302195,7.736392,0.20103991,35.17831,0.37694567,0.21403155,0.06620664,0.033027332,0.07562656,0.7728964,0.37694567,0.21403155,0.06620664,0.033027332,0.07562656,0.7728964,-0.01059557031840086,-0.011001260951161385,-0.0028638173826038837,0.9998791813850403,-0.18835638463497162,0.9196451306343079,-1.2176156044006348,-0.0902416780591011,-0.13681963086128235,-0.7098612189292908,-0.022060531377792358,0.021125587821006774,-0.9995330810546875,0.3499999940395355,0.0,-0.005846261978149414,-0.023645013570785522,0.0028014332056045532,-0.0549333393573761,0.1589086651802063,-0.04452444985508919,0.012560191564261913,-0.01485733687877655,-0.000980764627456665,0.06323057413101196,-0.22271740436553955,0.03798255696892738,0.009827065281569958,-5.3499348723562434e-05,-0.0017793222796171904,-2.5297671527368948e-05,-0.8622866272926331,0.012975827790796757,-0.3317626416683197,4.020098686218262,-1.1227089166641235,0.47753292322158813,-0.3333972692489624,-0.00840128306299448,0.6582851409912109,-7.781594276428223,0.8012087941169739,0.3157600164413452,-0.0026503854896873236,-0.047922100871801376,-0.0006142237107269466,0.3528212308883667,0.9356907606124878
2,-0.37924683,0.023709372,-0.2325477,-1.893099,-0.6099991,0.32382384,-0.18112057,-0.20364377,0.49809194,0.004793346,0.6099974,0.3258293,7.92855,34.61381,0.23812962,7.789793,0.2000221,28.731932,7.92855,34.61381,0.23812962,7.789793,0.2000221,28.731932,0.44013393,0.1604228,0.070980534,0.027786102,0.07747177,0.82139254,0.44013393,0.1604228,0.070980534,0.027786102,0.07747177,0.82139254,-0.009409263730049133,-0.006429016590118408,-0.022509705275297165,0.9996816515922546,0.7745838165283203,-0.21361666917800903,-1.0740312337875366,-0.16339431703090668,-0.31128957867622375,-0.6003475189208984,-0.013277482986450196,0.018523144721984863,-0.9997400283813477,0.3499999940395355,0.0,0.0027475892566144466,-0.04639101028442383,0.0008066743612289429,-0.05220937728881836,0.17540037631988525,-0.08070773631334305,0.02160709723830223,-0.02793092653155327,-0.0072061121463775635,0.09513327479362488,-0.42224645614624023,0.05877117067575455,0.02098158374428749,-0.0027302755042910576,0.00044420183985494077,-0.00023780128685757518,-0.9495091438293457,-0.280781626701355,0.9627374410629272,-2.9495186805725098,-3.529761791229248,-0.7206448912620544,-0.37849777936935425,-0.7098110318183899,2.021432399749756,-7.990452289581299,0.7560311555862427,0.5006983280181885,-0.6163906455039978,0.2878590524196625,-0.03573745861649513,0.514887809753418,0.8572575449943542
3,-0.37974617,-0.06206122,-0.43020868,-1.899993,-0.6099994,0.34781626,-0.19719127,0.008728683,0.41434193,1.3828278e-05,0.6099998,0.3445407,7.160007,38.08766,0.20778024,7.8050222,0.20000613,20.96483,7.160007,38.08766,0.20778024,7.8050222,0.20000613,20.96483,0.4692275,0.13175762,0.07044248,0.021589002,0.07784364,0.83049417,0.4692275,0.13175762,0.07044248,0.021589002,0.07784364,0.83049417,-0.012104501947760582,-0.01612059585750103,-0.03836359083652496,0.9990603923797607,-0.38841989636421204,-0.9971752762794495,-1.4638760089874268,-0.1832660585641861,0.05702075734734535,0.11077166348695755,-0.033139568567276,0.02294946610927582,-0.9991865158081055,0.3499999940395355,0.0,0.02245156839489937,-0.07048657536506653,0.002338200807571411,-0.04252949357032776,0.06882315874099731,-0.14524492621421814,0.01338757574558258,-0.05594322457909584,-0.006248593330383301,0.15298092365264893,-0.5200363397598267,0.026543034240603447,0.0971846655011177,0.0034284833818674088,0.007805454079061747,-0.00014337862376123667,-0.777131199836731,-0.0006274243351072073,0.07540803402662277,-5.184035301208496,-2.0130157470703125,-0.038568295538425446,-1.4621970653533936,0.058157533407211304,2.6321463584899902,-3.651829957962036,-1.410787582397461,3.9224905967712402,0.3677518665790558,0.21732905507087708,-0.003990538883954287,0.6602631211280823,0.7510343790054321
4,-0.37745354,0.09373897,-0.51950395,-1.8998222,-0.6096526,0.34875146,-0.19919726,0.1179778,-1.5419511,6.3061714e-05,0.61,0.33033606,12.818081,33.22595,0.2269305,7.7831144,0.2000953,12.382433,12.818081,33.22595,0.2269305,7.7831144,0.2000953,12.382433,0.460987,0.14285573,0.07019497,0.017548209,0.077858895,0.8289597,0.460987,0.14285573,0.07019497,0.017548209,0.077858895,0.8289597,-0.017165936529636383,-0.024292664602398872,-0.07481452822685242,0.9967536926269531,-0.63789963722229,-0.41675037145614624,-3.257185220718384,-0.19624124467372894,0.1935148686170578,0.1593594253063202,-0.050996631383895874,0.030584824085235596,-0.9982324600219726,0.3499999940395355,0.0,0.03819049522280693,-0.08622223138809204,0.0017308294773101807,-0.04120898246765137,-0.09836059808731079,-0.18281903862953186,0.014494228176772594,-0.10312417149543762,-0.002175435423851013,0.20878127217292786,-0.6284662485122681,0.0019137590425089002,0.19916607439517975,0.010455206967890263,0.008009525947272778,-0.00012640850036405027,-0.2719554305076599,-0.021468501538038254,0.03636718541383743,-7.392000198364258,-1.1316485404968262,0.04541832208633423,-2.3516721725463867,0.4110637605190277,2.031291961669922,-4.224064350128174,-1.006901741027832,3.944688081741333,0.30888697504997253,0.0056437160819768906,-0.013862608931958675,0.7842344641685486,0.6204646229743958
5,-0.3524204,0.21294487,-0.51882434,-0.94292206,-0.5646555,0.34010515,-0.19406703,0.15985537,-1.3993889,0.2881273,0.61,0.23504254,15.293377,24.00958,0.47234416,7.568964,0.20422888,10.539246,15.293377,24.00958,0.47234416,7.568964,0.20422888,10.539246,0.43800378,0.14666773,0.07151172,0.018281667,0.07712288,0.8126898,0.43800378,0.14666773,0.07151172,0.018281667,0.07712288,0.8126898,-0.025544993579387665,-0.021724294871091843,-0.1256636530160904,0.9915059208869934,-0.7745341062545776,0.5202947854995728,-4.516293525695801,-0.23744170367717743,0.1476842761039734,0.1094270795583725,-0.04949696362018585,0.045198434591293336,-0.9977372169494629,0.3499999940395355,0.0,0.07452691346406937,-0.09179557859897614,0.0018674731254577637,-0.0641452968120575,-0.1967872977256775,-0.20548591017723083,0.017953697592020035,-0.16861005127429962,0.013467788696289062,0.21231037378311157,-0.7015776038169861,-0.00909454096108675,0.28435876965522766,0.014338688924908638,0.005848240572959185,-0.00017799391935113817,-0.08616188913583755,0.0003948352241422981,-1.5413240194320679,-1.7526357173919678,-0.7236945033073425,0.16393354535102844,-2.485957145690918,0.7401729226112366,-0.8598161935806274,-2.0051233768463135,0.08249665051698685,3.2054684162139893,-0.0006328665185719728,-0.10038116574287415,-0.003469751914963126,0.8827829360961914,0.4697810709476471
6,-0.3099167,0.3308562,-0.06436247,-0.0002478361,-0.5911885,0.21964881,-0.1548311,0.15561324,0.15030134,1.8963199,0.6099998,0.11826506,17.831371,23.881685,2.0770168,7.7461405,0.21116388,12.336144,17.831371,23.881685,2.0770168,7.7461405,0.21116388,12.336144,0.40153217,0.13172683,0.07110941,0.017305493,0.07271418,0.79919624,0.40153217,0.13172683,0.07110941,0.017305493,0.07271418,0.79919624,-0.03538636490702629,-0.03821064159274101,-0.17071039974689484,0.9839439392089844,-0.5795074701309204,-2.3716328144073486,-3.046764373779297,-0.14477984607219696,0.11606603115797043,-3.8894140743650496e-05,-0.08727192878723145,0.05659477710723877,-0.9945562362670899,0.3499999940395355,0.0,0.1255073994398117,-0.09358161687850952,0.003385499119758606,-0.17825233936309814,-0.1726427674293518,-0.22241783142089844,0.025164375081658363,-0.2253970503807068,0.03451162576675415,0.2373015284538269,-0.6881371736526489,0.0015925983898341656,0.35002073645591736,0.014173771254718304,0.006995983421802521,-0.00022284021542873234,-0.004665486514568329,0.013018902391195297,-6.2504096031188965,2.5646934509277344,-0.6023841500282288,0.3481420874595642,-1.8763618469238281,0.9006983041763306,2.0924503803253174,1.9226031303405762,0.549384355545044,-0.0056580305099487305,-0.00664143729954958,-0.008003035560250282,-0.0013072642032057047,0.9527140259742737,0.30386844277381897
7,-0.20461676,0.46900254,1.5622189,-7.1525574e-07,-0.6059426,0.0060630143,-0.15316306,-0.003872335,-1.5381548,1.8996328,0.6099955,0.041739523,29.018074,26.67132,6.0531254,7.8034296,0.21807587,13.933037,29.018074,26.67132,6.0531254,7.8034296,0.21807587,13.933037,0.3065461,0.1145474,0.06594191,0.013121085,0.066242345,0.77454853,0.3065461,0.1145474,0.06594191,0.013121085,0.066242345,0.77454853,-0.04664488881826401,-0.04435402527451515,-0.19455023109912872,0.9787783622741699,-1.0223171710968018,0.5478418469429016,-0.8620025515556335,-0.3057469129562378,0.056591376662254333,-0.2876931428909302,-0.10497785806655884,0.07404919862747192,-0.9917253494262696,0.3499999940395355,0.0,0.17054320871829987,-0.09517474472522736,0.004165247082710266,-0.267221599817276,-0.07024878263473511,-0.23371566832065582,0.026748688891530037,-0.25145894289016724,0.058545224368572235,0.20562449097633362,-0.5648443698883057,0.021924655884504318,0.34593936800956726,0.014016065746545792,0.0037066221702843904,-0.00029121930128894746,-0.00010738661512732506,0.0034332689829170704,-1.6729953289031982,4.939236640930176,-0.29031985998153687,2.369037247262895e-06,-0.25536489486694336,0.868871808052063,-3.2923333644866943,6.75324821472168,0.9042208790779114,-0.24137108027935028,-0.002609855495393276,-0.08067112416028976,-0.0026931059546768665,0.9917605519294739,0.12810523808002472
8,-0.10387391,0.45347267,1.5191967,-7.1525574e-07,-0.5596998,-0.28449172,-0.068502575,-0.012814879,-1.1804271,1.8999987,0.60974276,-0.079155475,28.016088,25.309711,6.212207,7.80332,0.31048214,21.422728,28.016088,25.309711,6.212207,7.80332,0.31048214,21.422728,0.2833858,0.116640955,0.062824465,0.01246489,0.05366753,0.7440001,0.2833858,0.116640955,0.062824465,0.01246489,0.05366753,0.7440001,-0.04886538162827492,-0.017808279022574425,-0.19777701795101166,0.9788663387298584,-0.2811599373817444,2.842841148376465,0.24134814739227295,-0.30951836705207825,-0.1584150493144989,0.01464492455124855,-0.054190486669540405,0.0886220395565033,-0.9945809364318847,0.3499999940395355,0.0,0.19424870610237122,-0.09561195969581604,0.0054324716329574585,-0.2529514729976654,0.030627667903900146,-0.2926890552043915,0.0013553850585594773,-0.2489928901195526,0.06812518835067749,0.07121667265892029,-0.3683103322982788,0.05134575441479683,0.3364701569080353,0.008106047287583351,-0.0007794757839292288,-0.00031682575354352593,0.014241778291761875,0.0028265435248613358,1.7726424932479858,2.977349281311035,-3.7548224925994873,-1.9283679723739624,-0.006130438297986984,0.007308737374842167,-6.195292949676514,7.832483291625977,1.239196538925171,-0.4356536269187927,-0.12521439790725708,-0.06943205744028091,0.0019159287912771106,0.9986569285392761,-0.051810815930366516
9,-0.17413504,0.40840954,0.06668991,-0.00069630146,-0.12472808,-0.28833717,-0.004091367,0.051673472,0.5115888,1.8999995,0.60393345,0.031543374,17.045832,17.80468,3.8317807,7.779681,0.69988847,32.706985,17.045832,17.80468,3.8317807,7.779681,0.69988847,32.706985,0.31705868,0.12160039,0.06306187,0.013041139,0.041122254,0.752113,0.31705868,0.12160039,0.06306187,0.013041139,0.041122254,0.752113,-0.04472026973962784,-0.007084093987941742,-0.19544532895088196,0.9796687364578247,0.43873223662376404,-0.24609655141830444,0.2605594992637634,-0.13771265745162964,-0.19577014446258545,0.14094319939613342,-0.031359905004501344,0.0848531424999237,-0.9958951950073243,0.3499999940395355,0.0,0.19815737009048462,-0.0948152095079422,0.005862832069396973,-0.2901645004749298,0.14967435598373413,-0.3787313401699066,-0.06382022798061371,-0.24825814366340637,0.06976765394210815,-0.009272754192352295,-0.17124313116073608,0.11060642451047897,0.32363030314445496,0.007315437775105238,0.000572962046135217,-0.0002859525557141751,0.01415494829416275,0.01611427590250969,-3.3790409564971924,5.849678039550781,-3.107384204864502,-3.0186898708343506,-0.0031630024313926697,0.05255270376801491,-1.294073462486267,7.780066967010498,2.9300618171691895,-0.5223574042320251,0.005701741669327021,0.004274399951100349,-0.0024167723022401333,0.9731794595718384,-0.2300473004579544
