dof_target,dof_pos,dof_vel,torque_action,real_pos,real_vel,real_torque,hh,overshooting
0.0,-0.008964999578893185,1.3850633949846179e-17,0.8964999318122864,0.008583199816891707,-0.018783882783882433,-0.7384615384615358,0.9914168001831083,0
0.0,-0.008855004794895649,0.016413889825344086,0.8772935271263123,0.008583199816891707,-0.043829059829057826,-0.6681318681318658,0.9914168001831083,0
0.0,-0.00866726879030466,0.03168685734272003,0.850883424282074,0.008583199816891707,-0.00626129426129296,-1.1604395604395563,0.9914168001831083,0
0.0,-0.008409125730395317,0.04538964852690697,0.8182177543640137,0.008583199816891707,0.00626129426129296,-0.9494505494505461,0.9914168001831083,0
0.0,-0.008089842274785042,0.05714824050664902,0.78041011095047,0.008583199816891707,-0.00626129426129296,-0.9494505494505461,0.9914168001831083,0
3.9269907574635e-05,-0.007720306981354952,0.06665364652872086,0.7426308393478394,0.008583199816891707,-0.0563516483516473,-1.4417582417582366,0.9914168001831083,0
3.9269907574635e-05,-0.00731178792193532,0.07390439510345459,0.6981536149978638,0.008583199816891707,-0.031306471306471906,-0.9494505494505461,0.9914168001831083,0
3.9269907574635e-05,-0.00687708193436265,0.07849665731191635,0.6523868441581726,0.008583199816891707,0.00626129426129296,-0.5274725274725256,0.9914168001831083,0
3.9269907574635e-05,-0.006429785862565041,0.08034870028495789,0.6067312359809875,0.008583199816891707,-0.018783882783882433,-0.7384615384615358,0.9914168001831083,0
3.9269907574635e-05,-0.005983586888760328,0.07946251332759857,0.5625544190406799,0.008583199816891707,0.018783882783882433,-0.8087912087912059,0.9914168001831083,0
0.00015707963029854,-0.005551852285861969,0.07592223584651947,0.5329321026802063,0.008583199816891707,0.018783882783882433,-0.5274725274725256,0.9914168001831083,0
0.00015707963029854,-0.005144552327692509,0.07059983909130096,0.49486327171325684,0.008583199816891707,0.00626129426129296,-0.5978021978021957,0.9914168001831083,0
0.00015707963029854,-0.004772526677697897,0.06298418343067169,0.46146854758262634,0.008583199816891707,-0.00626129426129296,-0.6681318681318658,0.9914168001831083,0
0.00015707963029854,-0.004446183796972036,0.05335408076643944,0.43364930152893066,0.008583199816891707,-0.00626129426129296,-0.9494505494505461,0.9914168001831083,0
0.00015707963029854,-0.004174331668764353,0.04204391688108444,0.41211917996406555,0.008583199816891707,-0.018783882783882433,-0.6681318681318658,0.9914168001831083,0
0.0003534291754476726,-0.0039639403112232685,0.029432285577058792,0.4170207977294922,0.008583199816891707,0.031306471306471906,-1.0901098901098862,0.9914168001831083,0
0.0003534291754476726,-0.0038154886569827795,0.017117030918598175,0.40833327174186707,0.008583199816891707,0.00626129426129296,-0.7384615384615358,0.9914168001831083,0
0.0003534291754476726,-0.003730595111846924,0.004276418127119541,0.40626421570777893,0.008583199816891707,0.00626129426129296,-0.6681318681318658,0.9914168001831083,0
0.0003534291754476726,-0.003703175112605095,4.164803613093682e-09,0.4056604206562042,0.008583199816891707,0.00626129426129296,-0.9494505494505461,0.9914168001831083,0
0.0003534291754476726,-0.0036848406307399273,3.511786417220719e-09,0.4038269817829132,0.008583199816891707,0.031306471306471906,-1.2307692307692264,0.9914168001831083,0
0.0006283184629864991,-0.0036667166277766228,4.490061655815225e-09,0.42950350046157837,0.008583199816891707,-0.018783882783882433,-0.7384615384615358,0.9914168001831083,0
0.0006283184629864991,-0.0036456487141549587,6.390337148332037e-09,0.4273967146873474,0.008583199816891707,-0.031306471306471906,-0.879120879120876,0.9914168001831083,0
0.0006283184629864991,-0.00362482201308012,6.292339094216004e-09,0.4253140389919281,0.008583199816891707,-0.00626129426129296,-0.879120879120876,0.9914168001831083,0
0.0006283184629864991,-0.003604233730584383,4.452203938853927e-09,0.42325520515441895,0.008583199816891707,-0.00626129426129296,-0.38681318681318544,0.9914168001831083,0
0.0006283184629864991,-0.0035838820040225983,5.4080828704172745e-09,0.4212200343608856,0.008583199816891707,-0.018783882783882433,-0.6681318681318658,0.9914168001831083,0
0.0009817475220188498,-0.0035637631081044674,5.783931555924937e-09,0.4545510709285736,0.008583199816891707,0.00626129426129296,-0.6681318681318658,0.9914168001831083,0
0.0009817475220188498,-0.003539824392646551,7.174094207584858e-09,0.452157199382782,0.008583199816891707,0.06887423687423677,-0.6681318681318658,0.9914168001831083,0
0.0009817475220188498,-0.0035161604173481464,9.494215191807598e-09,0.4497907757759094,0.008583199816891707,-0.031306471306471906,-0.5274725274725256,0.9914168001831083,0
0.0009817475220188498,-0.003492767456918955,8.556071406928822e-09,0.44745150208473206,0.008583199816891707,-0.00626129426129296,-0.6681318681318658,0.9914168001831083,0
0.0009817475220188498,-0.003469642251729965,6.923528417246416e-09,0.44513896107673645,0.008583199816891707,-0.018783882783882433,-0.5978021978021957,0.9914168001831083,0
0.0014137162361294031,-0.003446782473474741,7.388734957203269e-09,0.4860498607158661,0.008583199816891707,0.00626129426129296,-0.4571428571428555,0.9914168001831083,0
0.0014137162361294031,-0.0034192358143627644,1.1754764273064211e-08,0.483295202255249,0.008583199816891707,-0.043829059829057826,-0.6681318681318658,0.9914168001831083,0
0.0014137162361294031,-0.0033920048736035824,1.263833837583661e-08,0.4805721044540405,0.008583199816891707,0.031306471306471906,-0.4571428571428555,0.9914168001831083,0
0.0014137162361294031,-0.0033650859259068966,1.0968960850732401e-08,0.47788020968437195,0.008583199816891707,0.031306471306471906,-0.5274725274725256,0.9914168001831083,0
0.0014137162361294031,-0.003338474780321121,1.1628344509517774e-08,0.47521910071372986,0.008583199816891707,-0.018783882783882433,-0.6681318681318658,0.9914168001831083,0
