dof_target,dof_pos,dof_vel,torque_action,real_pos,real_vel,real_torque
0.0,-7.406414453516372e-28,-1.9866017296458496e-25,1.7454356110442738e-24,-0.0001907377737087046,0.00626129426129296,0.9494505494505461
0.015707317311820675,-1.745652116384902e-27,-2.008835281221438e-25,10.052682876586914,-0.0001907377737087046,-0.031306471306471906,1.0197802197802162
0.0314107590781283,0.004337883088737726,1.151686429977417,9.955845832824707,-0.0001907377737087046,0.00626129426129296,2.0747252747252674
0.047106450709642665,0.014357369393110275,2.277841329574585,6.381228446960449,-0.0001907377737087046,-0.043829059829057826,4.325274725274738
0.06279051952931337,0.028430862352252007,2.9803507328033447,2.915935516357422,-0.0001907377737087046,0.00626129426129296,5.45054945054946
0.07845909572784494,0.04338927939534187,2.981682538986206,3.3619155883789062,0.0005722133211261138,0.3318485958485944,6.15384615384616
0.09410831331851433,0.05834795907139778,2.9817075729370117,3.8036975860595703,0.003242542153047978,0.920410256410257,8.123076923076923
0.10973431109104527,0.07330687344074249,2.98173451423645,4.230459213256836,0.007820248722056888,1.4588815628815617,9.178021978021974
0.12533323356430426,0.08826588094234467,2.981759786605835,4.639842987060547,0.014686808575570254,2.1100561660561645,10.092307692307685
0.14090123193758267,0.10322488844394684,2.9817843437194824,5.029443740844727,0.023842221713588074,2.711140415140413,11.076923076923066
0.15643446504023087,0.11818389594554901,2.9818081855773926,5.39678955078125,0.03604943923094517,3.4624957264957246,9.881318681318675
0.17192910027940955,0.1331430822610855,2.9818286895751953,5.739351272583008,0.05054551003280672,4.088625152625152,10.303296703296695
0.18738131458572466,0.14810241758823395,2.9818496704101562,6.054655075073242,0.06771190966659013,4.789890109890113,10.795604395604386
0.20278729535651252,0.16306175291538239,2.981868028640747,6.340391159057617,0.08831158922713023,5.416019536019537,9.459340659340654
0.2181432413965426,0.17802108824253082,2.9818856716156006,6.594108581542969,0.11005569542992255,6.092239316239315,10.021978021978015
0.23344536385590545,0.19298042356967926,2.981901168823242,6.813392639160156,0.13447013046463674,6.643233211233209,7.841758241758242
0.24868988716485485,0.20793986320495605,2.981915235519409,6.995759963989258,0.15964751659418575,6.993865689865686,6.716483516483521
0.263873049965373,0.22289949655532837,2.981919527053833,7.138782501220703,0.1867322804608218,7.394588522588528,6.2241758241758305
0.2789911060392293,0.23785923421382904,2.981921672821045,7.2400970458984375,0.21496147096971008,7.7577435897435905,4.958241758241769
0.29404032523230395,0.2528190016746521,2.981921672821045,7.297346115112305,0.24319066147859836,7.7452210012210045,3.692307692307679
0.30901699437494745,0.2677786946296692,2.981921434402466,7.308219909667969,0.27294575417715805,7.995672771672773,1.3010989010988965
0.32391741819814945,0.28273844718933105,2.981921672821045,7.270242691040039,0.3034637979705508,7.958105006105001,0.7384615384615358
0.3387379202452914,0.29769814014434814,2.9819209575653076,7.181173324584961,0.33474479285877834,7.695130647130654,-0.7384615384615358
0.35347484377925714,0.3126578629016876,2.981921911239624,7.03857421875,0.36335545891508403,7.482246642246643,-2.637362637362628
0.36812455268467803,0.3276175856590271,2.9819204807281494,6.84016227722168,0.3912031738765549,7.169181929181931,-3.410989010988999
0.3826834323650898,0.3425770401954651,2.9819159507751465,6.583824157714844,0.4171435111009387,6.78098168498169,-6.08351648351649
0.3971478906347806,0.3575363755226135,2.981900453567505,6.267208099365234,0.4407949950408181,6.204942612942613,-5.239560439560449
0.41151435860510877,0.37249571084976196,2.9818811416625977,5.887903213500977,0.4629205767910278,5.716561660561663,-6.15384615384616
0.42577929156507266,0.3874550461769104,2.9818592071533203,5.443613052368164,0.4827573052567331,5.065387057387056,-6.646153846153851
0.43993916985591514,0.40241438150405884,2.98183274269104,4.932134628295898,0.5006866559853513,4.514393162393162,-7.419780219780222
0.45399049973954675,0.4173737168312073,2.981802463531494,4.351198196411133,0.5159456778820477,3.9133089133089136,-6.646153846153851
0.4679298142605733,0.4323323965072632,2.9817678928375244,3.6990299224853516,0.529297322041657,3.2496117216117213,-7.701098901098902
0.48175367410171527,0.4472910761833191,2.9817278385162354,2.9730052947998047,0.5403601129167619,2.6860952380952376,-6.575824175824181
0.49545866843240755,0.462249755859375,2.9816863536834717,2.170907974243164,0.5491340505073623,2.1351013431013435,-5.239560439560449
0.5090414157503713,0.4772077798843384,2.981638193130493,1.2910499572753906,0.5560006103608757,1.6467203907203896,-5.5912087912088
0.5224985647159488,0.49216580390930176,2.9815855026245117,0.3308086395263672,0.5613412680247194,1.2084297924297935,-4.4659340659340785
0.5358267949789965,0.507123589515686,2.9815309047698975,-0.7117424011230469,0.5651560234988935,0.9078876678876675,-2.9186813186813083
0.5490228179981317,0.5216333866119385,2.862611770629883,-0.7914943695068359,0.5678263523308154,0.5948229548229556,-2.637362637362628
0.5620833778521305,0.5355178713798523,2.736046314239502,-0.5087814331054688,0.5697337300679024,0.3944615384615382,-1.0197802197802162
0.5750052520432785,0.5488953590393066,2.64345645904541,-0.20780181884765625,0.5708781567101546,0.24419047619047873,-0.31648351648351536
0.587785252292473,0.5619425773620605,2.5865094661712646,-0.014354705810546875,0.5720225833524069,0.3318485958485944,0.8087912087912059
0.6004202253258839,0.5747902989387512,2.552438259124756,0.06755447387695312,0.5735484855420765,0.36941636141635925,1.9340659340659272
0.6129070536529765,0.5875040292739868,2.5281786918640137,0.0775909423828125,0.5750743877317461,0.5196874236874223,3.0593406593406485
0.6252426563357051,0.6001015305519104,2.5053722858428955,0.05593299865722656,0.5773632410162506,0.6824810744810748,4.536263736263749
