Desired Potision,Sim Position,Sim Velocity,Sim Torque,Real Position,Real Velocity,Real Torque
0.0,-7.406414453516372e-28,-1.9866017296458496e-25,1.7454356110442738e-24,-0.15011062790875052,0.00626129426129296,2.8439560439560445
0.015707317311820675,-1.745652116384902e-27,-2.008835281221438e-25,10.052682876586914,-0.1497291523613331,0.14400976800977006,0.20659340659340586
0.0314107590781283,0.004337883088737726,1.151686429977417,9.955845832824707,-0.1497291523613331,-0.043829059829057826,0.20659340659340586
0.047106450709642665,0.014357369393110275,2.277841329574585,6.381228446960449,-0.1497291523613331,-0.00626129426129296,0.20659340659340586
0.06279051952931337,0.028430862352252007,2.9803507328033447,2.915935516357422,-0.1497291523613331,0.043829059829057826,0.2417582417582409
0.07845909572784494,0.04338927939534187,2.981682538986206,3.3619155883789062,-0.1497291523613331,0.00626129426129296,0.27692307692307594
0.09410831331851433,0.05834795907139778,2.9817075729370117,3.8036975860595703,-0.1497291523613331,0.018783882783882433,0.2681318681318672
0.10973431109104527,0.07330687344074249,2.98173451423645,4.230459213256836,-0.1497291523613331,-0.018783882783882433,0.2593406593406584
0.12533323356430426,0.08826588094234467,2.981759786605835,4.639842987060547,-0.1497291523613331,0.00626129426129296,0.312087912087911
0.14090123193758267,0.10322488844394684,2.9817843437194824,5.029443740844727,-0.1497291523613331,-0.0563516483516473,0.38241758241758106
0.15643446504023087,0.11818389594554901,2.9818081855773926,5.39678955078125,-0.1497291523613331,-0.00626129426129296,0.3296703296703285
0.17192910027940955,0.1331430822610855,2.9818286895751953,5.739351272583008,-0.1497291523613331,-0.043829059829057826,0.3560439560439548
0.18738131458572466,0.14810241758823395,2.9818496704101562,6.054655075073242,-0.1497291523613331,-0.018783882783882433,0.42637362637362486
0.20278729535651252,0.16306175291538239,2.981868028640747,6.340391159057617,-0.1497291523613331,-0.00626129426129296,0.4175824175824161
0.2181432413965426,0.17802108824253082,2.9818856716156006,6.594108581542969,-0.1497291523613331,-0.018783882783882433,0.4351648351648336
0.23344536385590545,0.19298042356967926,2.981901168823242,6.813392639160156,-0.1497291523613331,-0.018783882783882433,0.4351648351648336
0.24868988716485485,0.20793986320495605,2.981915235519409,6.995759963989258,-0.1497291523613331,-0.018783882783882433,0.45274725274725114
0.263873049965373,0.22289949655532837,2.981919527053833,7.138782501220703,-0.1497291523613331,-0.018783882783882433,0.4879120879120862
0.2789911060392293,0.23785923421382904,2.981921672821045,7.2400970458984375,-0.1497291523613331,-0.00626129426129296,0.4791208791208774
0.29404032523230395,0.2528190016746521,2.981921672821045,7.297346115112305,-0.1497291523613331,-0.018783882783882433,0.5406593406593423
0.30901699437494745,0.2677786946296692,2.981921434402466,7.308219909667969,-0.1497291523613331,-0.031306471306471906,0.49670329670329494
0.32391741819814945,0.28273844718933105,2.981921672821045,7.270242691040039,-0.1497291523613331,-0.031306471306471906,0.47032967032966866
0.3387379202452914,0.29769814014434814,2.9819209575653076,7.181173324584961,-0.1497291523613331,0.043829059829057826,0.5054945054945073
0.35347484377925714,0.3126578629016876,2.981921911239624,7.03857421875,-0.1497291523613331,-0.00626129426129296,0.6109890109890124
0.36812455268467803,0.3276175856590271,2.9819204807281494,6.84016227722168,-0.1497291523613331,-0.00626129426129296,0.5846153846153861
0.3826834323650898,0.3425770401954651,2.9819159507751465,6.583824157714844,-0.1497291523613331,0.018783882783882433,0.6021978021978036
0.3971478906347806,0.3575363755226135,2.981900453567505,6.267208099365234,-0.1497291523613331,-0.018783882783882433,0.5934065934065949
0.41151435860510877,0.37249571084976196,2.9818811416625977,5.887903213500977,-0.1497291523613331,0.00626129426129296,0.6285714285714299
0.42577929156507266,0.3874550461769104,2.9818592071533203,5.443613052368164,-0.1497291523613331,0.00626129426129296,0.6637362637362649
0.43993916985591514,0.40241438150405884,2.98183274269104,4.932134628295898,-0.1497291523613331,0.00626129426129296,0.6901098901098912
0.45399049973954675,0.4173737168312073,2.981802463531494,4.351198196411133,-0.1497291523613331,-0.018783882783882433,0.734065934065935
0.4679298142605733,0.4323323965072632,2.9817678928375244,3.6990299224853516,-0.1497291523613331,-0.018783882783882433,0.7252747252747263
0.48175367410171527,0.4472910761833191,2.9817278385162354,2.9730052947998047,-0.1497291523613331,-0.00626129426129296,0.7164835164835175
0.49545866843240755,0.462249755859375,2.9816863536834717,2.170907974243164,-0.1497291523613331,0.00626129426129296,0.8131868131868139
0.5090414157503713,0.4772077798843384,2.981638193130493,1.2910499572753906,-0.1497291523613331,0.031306471306471906,0.8307692307692314
0.5224985647159488,0.49216580390930176,2.9815855026245117,0.3308086395263672,-0.1497291523613331,0.00626129426129296,0.8395604395604401
0.5358267949789965,0.507123589515686,2.9815309047698975,-0.7117424011230469,-0.1493476768139157,0.2316678876678857,0.8483516483516489
0.5490228179981317,0.5216333866119385,2.862611770629883,-0.7914943695068359,-0.14782177462424606,0.619868131868131,0.8043956043956051
0.5620833778521305,0.5355178713798523,2.736046314239502,-0.5087814331054688,-0.1447699702449068,0.9454554334554324,0.8571428571428577
0.5750052520432785,0.5488953590393066,2.64345645904541,-0.20780181884765625,-0.14057373922331529,1.3336556776556776,0.8131868131868139
0.587785252292473,0.5619425773620605,2.5865094661712646,-0.014354705810546875,-0.13485160601205415,1.684288156288158,0.7604395604395613
0.6004202253258839,0.5747902989387512,2.552438259124756,0.06755447387695312,-0.12798504615854078,2.0223980463980453,0.8571428571428577
0.6129070536529765,0.5875040292739868,2.5281786918640137,0.0775909423828125,-0.11959258411535778,2.4231208791208765,0.918681318681319
